date_of_calculation,code_of_stock,name_of_stock,name_of_short_seller,address_of_short_seller,name_of_discretionary_investment_contractor,address_of_discretionary_investment_contractor,name_of_investment_fund,ratio_of_short_positions_to_shares_outstanding,number_of_short_positions_in_shares,number_of_short_positions_in_trading_units,date_of_calculation_in_previous_reporting,ratio_of_short_positions_in_previous_reporting,notes
2025-01-28,3350,Metaplanet Inc.,Integrated Core Strategies (Asia) Pte. Ltd.,"88 Market Street, #37-01, CapitaSpring, Singapore 048948",,,,0.008100000000000001,318700,3187.0,2025-01-27,0.0055000000000000005,
2025-01-28,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.006,237060,2370.0,2025-01-27,0.005,
2025-01-27,3350,Metaplanet Inc.,Integrated Core Strategies (Asia) Pte. Ltd.,"88 Market Street, #37-01, CapitaSpring, Singapore 048948",,,,0.0055000000000000005,216900,2169.0,2025-01-24,0.0046,
2025-01-27,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.005,197900,1979.0,2025-01-24,0.0034000000000000002,
2025-01-27,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0449,1629041,16290.0,2025-01-24,0.0426,
2025-01-24,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.0034000000000000002,135000,1350.0,2025-01-23,0.0078000000000000005,
2025-01-24,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0426,1545141,15451.0,2025-01-23,0.0452,
2025-01-23,3350,Metaplanet Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.0078000000000000005,308000,3080.0,2025-01-22,0.0045000000000000005,
2025-01-23,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0452,1641541,16415.0,2025-01-22,0.042199999999999994,
2025-01-22,3350,Metaplanet Inc.,Integrated Core Strategies (Asia) Pte. Ltd.,"88 Market Street, #37-01, CapitaSpring, Singapore 048948",,,,0.0018,71800,718.0,2025-01-21,0.0053,
2025-01-22,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.042199999999999994,1530941,15309.0,2025-01-21,0.0416,
2025-01-21,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.005,199140,1991.0,2025-01-20,0.0068,
2025-01-21,3350,Metaplanet Inc.,Integrated Core Strategies (Asia) Pte. Ltd.,"88 Market Street, #37-01, CapitaSpring, Singapore 048948",,,,0.0053,208100,2081.0,2025-01-15,0.004,
2025-01-21,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0416,1510641,15106.0,2025-01-20,0.0387,
2025-01-20,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0387,1406341,14063.0,2025-01-17,0.0363,
2025-01-20,3350,Metaplanet Inc.,BNP Paribas Financial Markets SNC,"20 boulevard des Italiens, 75009 Paris",,,,0.0068,270140,2701.0,2025-01-17,0.0077,
2025-01-17,3350,Metaplanet Inc.,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.0363,1316601,13166.0,2025-01-16,0.051,
2025-01-17,3350,Metaplanet Inc.,GOLDMAN SACHS INTERNATIONAL,Plumtree Court 25 Shoe Lane London,,,,0.003,119326,1193.0,2025-01-15,0.0069,顧客取引に係るヘッジポジション及びETFの場合は当該ETFの設定を伴う空売りを含む
